Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6182000e+00                  5.3443477e-11                  5.3443477e-11
2.6183000e+00                  4.7767452e-11                  4.7767452e-11
2.6184000e+00                  4.1729615e-11                  4.1729615e-11
2.6185000e+00                  3.5959301e-11                  3.5959301e-11
2.6186000e+00                  3.0854913e-11                  3.0854913e-11
2.6187000e+00                  2.6560504e-11                  2.6560504e-11
2.6188000e+00                  2.3019835e-11                  2.3019835e-11
2.6189000e+00                  2.0073525e-11                  2.0073525e-11
2.6190000e+00                  1.7557724e-11                  1.7557724e-11
2.6191000e+00                  1.5373288e-11                  1.5373288e-11
2.6192000e+00                  1.3514479e-11                  1.3514479e-11
2.6193000e+00                  1.2065341e-11                  1.2065341e-11
2.6194000e+00                  1.1182044e-11                  1.1182044e-11
2.6195000e+00                  1.1078137e-11                  1.1078137e-11
2.6196000e+00                  1.2019419e-11                  1.2019419e-11
2.6197000e+00                  1.4321603e-11                  1.4321603e-11
2.6198000e+00                  1.8333607e-11                  1.8333607e-11
2.6199000e+00                  2.4387308e-11                  2.4387308e-11
2.6200000e+00                  3.2703990e-11                  3.2703990e-11
2.6201000e+00                  4.3267502e-11                  4.3267502e-11
2.6202000e+00                  5.5698460e-11                  5.5698460e-11
2.6203000e+00                  6.9181934e-11                  6.9181934e-11
2.6204000e+00                  8.2500801e-11                  8.2500801e-11
2.6205000e+00                  9.4201205e-11                  9.4201205e-11
2.6206000e+00                  1.0286971e-10                  1.0286971e-10
2.6207000e+00                  1.0745122e-10                  1.0745122e-10
2.6208000e+00                  1.0750701e-10                  1.0750701e-10
2.6209000e+00                  1.0332142e-10                  1.0332142e-10
2.6210000e+00                  9.5815876e-11                  9.5815876e-11
2.6211000e+00                  8.6299534e-11                  8.6299534e-11
2.6212000e+00                  7.6145908e-11                  7.6145908e-11
2.6213000e+00                  6.6507444e-11                  6.6507444e-11
2.6214000e+00                  5.8155373e-11                  5.8155373e-11
2.6215000e+00                  5.1474346e-11                  5.1474346e-11
2.6216000e+00                  4.6577606e-11                  4.6577606e-11
2.6217000e+00                  4.3466313e-11                  4.3466313e-11
2.6218000e+00                  4.2151227e-11                  4.2151227e-11
2.6219000e+00                  4.2684052e-11                  4.2684052e-11
2.6220000e+00                  4.5093895e-11                  4.5093895e-11
2.6221000e+00                  4.9270562e-11                  4.9270562e-11
2.6222000e+00                  5.4862773e-11                  5.4862773e-11
2.6223000e+00                  6.1256280e-11                  6.1256280e-11
2.6224000e+00                  6.7665460e-11                  6.7665460e-11
2.6225000e+00                  7.3324062e-11                  7.3324062e-11
2.6226000e+00                  7.7715311e-11                  7.7715311e-11
2.6227000e+00                  8.0758561e-11                  8.0758561e-11
2.6228000e+00                  8.2881225e-11                  8.2881225e-11
2.6229000e+00                  8.4948345e-11                  8.4948345e-11
2.6230000e+00                  8.8079110e-11                  8.8079110e-11
2.6231000e+00                  9.3422428e-11                  9.3422428e-11
2.6232000e+00                  1.0196950e-10                  1.0196950e-10
2.6233000e+00                  1.1444639e-10                  1.1444639e-10
2.6234000e+00                  1.3127329e-10                  1.3127329e-10
2.6235000e+00                  1.5253583e-10                  1.5253583e-10
2.6236000e+00                  1.7791882e-10                  1.7791882e-10
2.6237000e+00                  2.0661341e-10                  2.0661341e-10
2.6238000e+00                  2.3729629e-10                  2.3729629e-10
2.6239000e+00                  2.6834198e-10                  2.6834198e-10
2.6240000e+00                  2.9841378e-10                  2.9841378e-10
2.6241000e+00                  3.2746157e-10                  3.2746157e-10
2.6242000e+00                  3.5796170e-10                  3.5796170e-10
2.6243000e+00                  3.9602726e-10                  3.9602726e-10
2.6244000e+00                  4.5187636e-10                  4.5187636e-10
2.6245000e+00                  5.3914048e-10                  5.3914048e-10
2.6246000e+00                  6.7267000e-10                  6.7267000e-10
2.6247000e+00                  8.6486373e-10                  8.6486373e-10
2.6248000e+00                  1.1210770e-09                  1.1210770e-09
2.6249000e+00                  1.4352296e-09                  1.4352296e-09
2.6250000e+00                  1.7871251e-09                  1.7871251e-09
2.6251000e+00                  2.1429393e-09                  2.1429393e-09
2.6252000e+00                  2.4596603e-09                  2.4596603e-09
2.6253000e+00                  2.6930325e-09                  2.6930325e-09
2.6254000e+00                  2.8071736e-09                  2.8071736e-09
2.6255000e+00                  2.7831010e-09                  2.7831010e-09
2.6256000e+00                  2.6234574e-09                  2.6234574e-09
2.6257000e+00                  2.3518638e-09                  2.3518638e-09
2.6258000e+00                  2.0071503e-09                  2.0071503e-09
2.6259000e+00                  1.6344219e-09                  1.6344219e-09
2.6260000e+00                  1.2757915e-09                  1.2757915e-09
2.6261000e+00                  9.6334041e-10                  9.6334041e-10
2.6262000e+00                  7.1571070e-10                  7.1571070e-10
