Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6292000e+00                  1.0075007e-30                  1.0075007e-30
2.6293000e+00                  1.0697007e-30                  1.0697007e-30
2.6294000e+00                  1.1429931e-30                  1.1429931e-30
2.6295000e+00                  1.2315174e-30                  1.2315174e-30
2.6296000e+00                  1.3378564e-30                  1.3378564e-30
2.6297000e+00                  1.4616563e-30                  1.4616563e-30
2.6298000e+00                  1.5989538e-30                  1.5989538e-30
2.6299000e+00                  1.7427946e-30                  1.7427946e-30
2.6300000e+00                  1.8853146e-30                  1.8853146e-30
2.6301000e+00                  2.0208106e-30                  2.0208106e-30
2.6302000e+00                  2.1487188e-30                  2.1487188e-30
2.6303000e+00                  2.2751671e-30                  2.2751671e-30
2.6304000e+00                  2.4120899e-30                  2.4120899e-30
2.6305000e+00                  2.5737754e-30                  2.5737754e-30
2.6306000e+00                  2.7718549e-30                  2.7718549e-30
2.6307000e+00                  3.0106622e-30                  3.0106622e-30
2.6308000e+00                  3.2850986e-30                  3.2850986e-30
2.6309000e+00                  3.5823751e-30                  3.5823751e-30
2.6310000e+00                  3.8874436e-30                  3.8874436e-30
2.6311000e+00                  4.1901409e-30                  4.1901409e-30
2.6312000e+00                  4.4909054e-30                  4.4909054e-30
2.6313000e+00                  4.8020792e-30                  4.8020792e-30
2.6314000e+00                  5.1434640e-30                  5.1434640e-30
2.6315000e+00                  5.5334154e-30                  5.5334154e-30
2.6316000e+00                  5.9791900e-30                  5.9791900e-30
2.6317000e+00                  6.4712716e-30                  6.4712716e-30
2.6318000e+00                  6.9852393e-30                  6.9852393e-30
2.6319000e+00                  7.4916416e-30                  7.4916416e-30
2.6320000e+00                  7.9704983e-30                  7.9704983e-30
2.6321000e+00                  8.4242175e-30                  8.4242175e-30
2.6322000e+00                  8.8823825e-30                  8.8823825e-30
2.6323000e+00                  9.3945713e-30                  9.3945713e-30
2.6324000e+00                  1.0012305e-29                  1.0012305e-29
2.6325000e+00                  1.0766432e-29                  1.0766432e-29
2.6326000e+00                  1.1649365e-29                  1.1649365e-29
